term,coef,std_err,t,dependent,n_obs
ret_lag1_3,0.1435756460117174,0.04558725555710982,3.149468952607858,net_flow_rate,791
market_return,0.0571733793194598,0.06234131656236544,0.9171025328325285,net_flow_rate,791
log_nav_begin,-0.014448638462603263,0.006945846944550863,-2.0801838246577646,net_flow_rate,791
period_days,0.000584385064291822,0.000552214073868687,1.058258186354709,net_flow_rate,791
ret_lag1_3,0.23995626910502632,0.04755154187182439,5.046235298780228,gross_subscription_rate,791
market_return,0.09024633304548152,0.07261313224671714,1.2428376280319677,gross_subscription_rate,791
log_nav_begin,0.030713955455578135,0.009817761676414311,3.1284071123221264,gross_subscription_rate,791
period_days,0.0025966945347127655,0.0006184848139775455,4.198477433929429,gross_subscription_rate,791
ret_lag1_3,0.09638062309330891,0.03368670642426319,2.8610877501485215,gross_redemption_rate,791
market_return,0.0330729537260217,0.04697880492914207,0.7039973404156512,gross_redemption_rate,791
log_nav_begin,0.04516259391818139,0.006295042026669499,7.174311740389674,gross_redemption_rate,791
period_days,0.0020123094704209434,0.0005540367987488951,3.632086307200288,gross_redemption_rate,791
