fund_code,period_start,period_end,report_date,period_days,source,date_conflict,template_variant,nav_begin,nav_per_unit_begin,nav_end,nav_per_unit_end,chg_investment,chg_flows_net,subscriptions,redemptions,chg_distribution,chg_nav_per_unit,nav_52w_high,nav_52w_low,foreign_units,foreign_value,foreign_ownership_pct,prior_nav_begin,prior_nav_per_unit_begin,prior_nav_end,prior_nav_per_unit_end,prior_chg_investment,prior_chg_flows_net,prior_subscriptions,prior_redemptions,prior_chg_distribution,prior_chg_nav_per_unit,prior_nav_52w_high,prior_nav_52w_low,prior_foreign_units,prior_foreign_value,prior_foreign_ownership_pct,net_flow,units_begin,units_end,gross_return,foreign_share_of_nav,reconcile_residual_vnd,net_flow_residual_vnd,quarantine_reason
SSIBF,2023-09-05,2023-09-11,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230911.pdf,,standard,458521272822.0,14242.15,458922479101.0,14271.08,93038.0,-52917.0,,,,28.93,1504127421879.0,445198974045.0,92866.76,1325308961.0,0.29,,,,401206279.0,84799.0,-78520.0,,,,28.93,,,,,,-52917.0,32194666.733744554,32157515.696149137,0.0020312944323714888,0.28878710922947076,401166158.0,0.0,"identity: nav_end 458,922,479,101 vs identity 458,521,312,943, residual 401,166,158.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2023-09-12,2023-09-18,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230918.pdf,,standard,458922479101.0,14271.08,459771828540.0,14325.2,173959345.0,-89024401.0,,,,54.1,1488955915881.0,445198974045.0,92866.76,1330334910.0,0.29,458521272822.0,14242.15,458922479101.0,14271.08,930384799.0,-529178520.0,,,,28.93,1504127421879.0,445198974045.0,92866.76,1325308961.0,0.29,-89024401.0,32157515.696149137,32095316.54287549,0.003792284816566127,0.28934676450805236,764414495.0,0.0,"identity: nav_end 459,771,828,540 vs identity 459,007,414,045, residual 764,414,495.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2023-09-19,2023-09-25,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230925.pdf,,standard,459771828540.0,14325.2,461435883859.0,14397.46,23.0,-652563191.0,,,,72.26,1488955915881.0,445198974045.0,92866.76,1337045462.0,0.29,,,,1664055319.0,316618510.0,,,,,,1.0,,,,,-652563191.0,32095316.54287549,32049811.832017593,0.0050442576717950605,0.2897575825309152,2316618487.0,0.0,"identity: nav_end 461,435,883,859 vs identity 459,119,265,372, residual 2,316,618,487.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2023-09-26,2023-10-02,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/Copy%20of%20SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20231002.pdf,,standard,461435883859.0,14397.46,462696211661.0,14412.49,48257.0,77774.0,,,,15.03,1454317498660.0,445198974045.0,92866.76,1338441250.0,0.29,,,,1260327802.0,9418.0,8384.0,,,,15.03,,,,,,77774.0,32049811.832017593,32103835.746703032,0.0010439341383827738,0.2892699823919512,1260201771.0,0.0,"identity: nav_end 462,696,211,661 vs identity 461,436,009,890, residual 1,260,201,771.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2024-02-20,2024-02-26,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240226.pdf,,standard,900218402.0,14891.07,414316506.0,14940.48,398266845.0,115831259.0,,,,49.41,729205231.0,762263780.0,78751.95,176591934.0,0.98,1161760930.0,14849.0,1169002184.0,14891.0,3292314.0,3948939.0,,,,41.99,4677292052.0,1127622637.0,78751.0,11727008.0,1.0,115831259.0,60453.57398763151,27731.137553813533,0.003318096013248173,42.622471333546144,-1000000000.0,0.0,"identity: nav_end 414,316,506 vs identity 1,414,316,506, residual -1,000,000,000.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
VINACAPITAL-VESAF,2022-11-06,2022-12-12,2022-12-13,36.0,https://vinacapital.com/wp-content/uploads/2022/12/20221213_VESAF_BC_Weekly_20221212.xlsx,,standard,1034623121491.0,20527.37,1010310900480.0,20048.28,-24147625387.0,-164595624.0,3878571115.0,-4043166739.0,,,28872.36,17459.5,13394389.62,268534473531.0,26.580000000000005,966992860415.0,19245.0,1034623121491.0,20527.37,64587257405.0,3043003671.0,5910267100.0,-2867263429.0,0.0,,28872.36,17459.5,13394290.68,274949560676.0,26.580000000000005,-164595624.0,50402127.57362487,50393894.16348934,-0.023339083379897207,26.579389908929908,0.0,0.0,"period_days 36 outside plausible range [0, 35]; header dates suspect"
VINACAPITAL-VESAF,2022-11-13,2022-12-19,2022-12-20,36.0,https://vinacapital.com/wp-content/uploads/2022/12/20221220-VESAF_BC_Weekly_20221219-1.xlsx,,standard,1010310900480.0,20048.28,1018957196196.0,20227.98,9054867718.0,-408572002.0,2853423747.0,-3261995749.0,,,28872.36,17459.5,13394389.62,270941445346.0,26.590000000000003,1034623121491.0,20527.37,1010310900480.0,20048.28,-24147625387.0,-164595624.0,3878571115.0,-4043166739.0,,,28872.36,17459.5,13394389.62,268534473531.0,26.580000000000005,-408572002.0,50393894.16348934,50373650.56698692,0.008963362443062506,26.590071335428643,0.0,0.0,"period_days 36 outside plausible range [0, 35]; header dates suspect"
VINACAPITAL-VESAF,2022-11-20,2022-12-26,2022-12-27,36.0,https://vinacapital.com/wp-content/uploads/2022/12/20221227-VESAF_BC_Weekly_20221226.xlsx,,standard,1018957196196.0,20227.98,973063550128.0,19324.51,-45498685545.0,-394960523.0,2188230307.0,-2583190830.0,,,28872.36,17459.5,13394826.12,258848451304.0,26.6,1010310900480.0,20048.28,1018957196196.0,20227.98,9054867718.0,-408572002.0,2853423747.0,-3261995749.0,,,28872.36,17459.5,13394389.62,270941445346.0,26.590000000000003,-394960523.0,50373650.56698692,50353853.73952561,-0.04466437083683106,26.601392197863156,0.0,0.0,"period_days 36 outside plausible range [0, 35]; header dates suspect"
VINACAPITAL-VESAF,2022-11-27,2023-01-02,2023-01-03,36.0,https://vinacapital.com/wp-content/uploads/2023/01/20230103-VESAF_BC_Weekly_20230102.xlsx,,standard,973063550128.0,19324.51,993826967854.0,19741.73,21005999877.0,-242582151.0,2556003801.0,-2798585952.0,,,28872.36,17459.5,13399895.43,264537117607.0,26.619999999999997,1018957196196.0,20227.98,973063550128.0,19324.51,-45498685545.0,-394960523.0,2188230307.0,-2583190830.0,,,28872.36,17459.5,13394826.12,258848451304.0,26.6,-242582151.0,50353853.73952561,50341432.481043965,0.02159019814732699,26.61802568894089,0.0,0.0,"period_days 36 outside plausible range [0, 35]; header dates suspect"
VINACAPITAL-VFF,2024-01-07,2025-01-13,2025-01-14,372.0,https://vinacapital.com/wp-content/uploads/2025/01/20250114_VFF_BC_Weekly_20250113-1.xlsx,,standard,1624554876508.0,23835.19,1631687443686.0,23890.24,13677512849.0,-6544945671.0,6993546408.0,-13538492079.0,,,23890.24,22399.95,9986506.97,238580048275.0,14.62,1628686507492.0,23785.33,1624554876508.0,23835.19,3398677380.0,-7530308364.0,10011155629.0,-17541463993.0,,,23835.19,22306.26,9751545.85,232429948128.0,14.309999999999997,-6544945671.0,68157832.03356047,68299332.43391444,0.0023096102863036094,14.621675811639822,0.0,0.0,"period_days 372 outside plausible range [0, 35]; header dates suspect"
VINACAPITAL-VFF,2024-01-14,2025-01-20,2025-01-21,372.0,https://vinacapital.com/wp-content/uploads/2025/01/20250121_VFF_BC_Weekly_20250120.xlsx,,standard,1631687443686.0,23890.24,1630073224974.0,23920.72,2077048236.0,-3691266948.0,8829327325.0,-12520594273.0,,,23920.72,22428.88,10050284.65,240410045033.0,14.75,1624554876508.0,23835.19,1631687443686.0,23890.24,13677512849.0,-6544945671.0,6993546408.0,-13538492079.0,,,23890.24,22399.95,9986506.97,238580048275.0,14.62,-3691266948.0,68299332.43391444,68144822.7718062,0.0012758348179005008,14.748419969712378,0.0,0.0,"period_days 372 outside plausible range [0, 35]; header dates suspect"
VINACAPITAL-VLBF,2021-09-02,2021-09-08,2021-09-09,6.0,https://vinacapital.com/wp-content/uploads/2022/07/20210901-08-vlbf-changes-of-nav-weekly-report.xlsx,,alt,0.0,0.0,50307269329.0,9999.95,-230671.0,50307500000.0,,,0.0,9999.95,,,5005000.0,50049749750.0,99.48814789047358,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,50307500000.0,,5030752.086660433,,99.48810662467909,0.0,0.0,nav_begin missing or zero; flow rates undefined
