term,coef,std_err,t,dependent,n_obs
ret_lag1_4,-0.003142999411829937,0.013238119506148772,-0.2374203836405989,net_flow_rate,3365
market_return,0.0032676904561070724,0.01983345439671605,0.16475649630899017,net_flow_rate,3365
log_nav_begin,-0.0023280600444217253,0.0013809729610189427,-1.6858114605690615,net_flow_rate,3365
period_days,0.0010092791180976645,0.0006384870036711943,1.5807355706450987,net_flow_rate,3365
ret_lag1_4,0.033370423997242535,0.0174262335357353,1.9149533333643844,gross_subscription_rate,3365
market_return,0.007785713953715687,0.019011868117792808,0.40951861781689936,gross_subscription_rate,3365
log_nav_begin,0.005974307170653867,0.0020489709694173743,2.9157597934892476,gross_subscription_rate,3365
period_days,0.0008559869476729657,0.0009511301665090785,0.8999682460022105,gross_subscription_rate,3365
ret_lag1_4,0.03651342340907248,0.01274087650485705,2.8658486247121937,gross_redemption_rate,3365
market_return,0.004518023497608622,0.015096877444263,0.29926874045900975,gross_redemption_rate,3365
log_nav_begin,0.008302367215075594,0.0013893691616825128,5.975638040664086,gross_redemption_rate,3365
period_days,-0.0001532921704246989,0.000426259943041874,-0.3596213365271344,gross_redemption_rate,3365
