fund_code,period_start,period_end,report_date,period_days,source,date_conflict,template_variant,nav_begin,nav_per_unit_begin,nav_end,nav_per_unit_end,chg_investment,chg_flows_net,subscriptions,redemptions,chg_distribution,chg_nav_per_unit,nav_52w_high,nav_52w_low,foreign_units,foreign_value,foreign_ownership_pct,prior_nav_begin,prior_nav_per_unit_begin,prior_nav_end,prior_nav_per_unit_end,prior_chg_investment,prior_chg_flows_net,prior_subscriptions,prior_redemptions,prior_chg_distribution,prior_chg_nav_per_unit,prior_nav_52w_high,prior_nav_52w_low,prior_foreign_units,prior_foreign_value,prior_foreign_ownership_pct,net_flow,units_begin,units_end,gross_return,foreign_share_of_nav,reconcile_residual_vnd,net_flow_residual_vnd,gross_subscription_rate,gross_redemption_rate,net_flow_rate,churn_rate,gross_legs_disclosed,flow_asymmetry,manager_id,fund_key,fund_name,asset_class,index_begin,index_end,market_return,excess_return,month,deposit_rate_pct,deposit_rate_provenance,deposit_rate_tenor,deposit_rate_source,deposit_rate_bank
DCBC,2021-06-11,2021-06-17,2021-06-18,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/06/DCBC_BC_TUAN_20210617.xlsx,,standard,466914397670.0,27021.15,484110287694.0,27589.71,9843972059.0,7351917965.0,8106664640.0,-754746675.0,0.0,,28250.84,14236.3,6375387.63,175895095849.0,36.33,485185983451.0,28173.67,466914397670.0,27021.15,-19872573871.0,1600988090.0,5614166398.0,-4013178308.0,0.0,,28250.84,14236.3,6375387.63,172270305458.0,36.9,7351917965.0,17279590.160670437,17546769.708489142,0.02104129542969102,36.333682700042324,0.0,0.0,0.01736220746341073,0.0016164562043199844,0.015745751259090748,0.018978663667730714,True,0.8296554243628403,dcvfm,dcbc,DC Blue Chip Fund,equity,1351.74,1359.92,0.006051459600219022,0.014989835829471998,2021-06,,,,,
DCBC,2021-06-18,2021-06-24,2021-06-25,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/06/DCBC_BC_TUAN_20210624.xlsx,,standard,484110287694.0,27589.71,497069285788.0,28036.81,7864438486.0,5094559608.0,5881655381.0,-787095773.0,0.0,,28250.84,14236.3,6375387.63,178745531659.0,35.96,466914397670.0,27021.15,484110287694.0,27589.71,9843972059.0,7351917965.0,8106664640.0,-754746675.0,0.0,,28250.84,14236.3,6375387.63,175895095849.0,36.33,5094559608.0,17546769.708489142,17729166.96970875,0.01620531712729134,35.959882609853096,0.0,0.0,0.012149412087515314,0.0016258604557842268,0.010523551631731088,0.01377527254329954,True,0.7639450761248183,dcvfm,dcbc,DC Blue Chip Fund,equity,1377.77,1379.72,0.0014153305704145414,0.0147899865568768,2021-06,,,,,
DCBC,2021-06-25,2021-07-01,2021-07-02,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210701.xlsx,,standard,497069285788.0,28036.81,518435572785.0,29008.96,17295559548.0,4070727449.0,4449101888.0,-378374439.0,0.0,,29008.96,14236.3,6375387.63,184943364743.0,35.68,484110287694.0,27589.71,497069285788.0,28036.81,7864438486.0,5094559608.0,5881655381.0,-787095773.0,0.0,,28250.84,14236.3,6375387.63,178745531659.0,35.96,4070727449.0,17729166.96970875,17871567.018776268,0.03467405885334318,35.67335546623413,0.0,0.0,0.008950667472738481,0.0007612106597979918,0.00818945681294049,0.009711878132536473,True,0.8432413073125775,dcvfm,dcbc,DC Blue Chip Fund,equity,1390.12,1417.08,0.019394009150289104,0.015280049703054077,2021-07,,,,,
DCBC,2021-07-02,2021-07-08,2021-07-09,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210708.xlsx,,standard,518435572785.0,29008.96,466642284372.0,28370.04,-10079516631.0,-41713771782.0,12085880585.0,-53799652367.0,0.0,,29219.48,14236.3,4575387.84,129803936036.0,27.810000000000002,497069285788.0,28036.81,518435572785.0,29008.96,17295559548.0,4070727449.0,4449101888.0,-378374439.0,0.0,,29008.96,14236.3,6375387.63,184943364743.0,35.68,-41713771782.0,17871567.018776268,16448418.274066586,-0.022024919197378923,27.816582505095553,0.0,0.0,0.023312213164840303,0.10377307266550401,-0.08046085950066371,0.1270852858303443,True,-0.6331249048617394,dcvfm,dcbc,DC Blue Chip Fund,equity,1420.27,1374.68,-0.032099530370985785,0.010074611173606862,2021-07,,,,,
DCBC,2021-07-09,2021-07-15,2021-07-16,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210715.xlsx,,standard,466642284372.0,28370.04,364174305891.0,26735.63,-28597950133.0,-73870028348.0,8712398674.0,-82582427022.0,0.0,,29219.48,14236.3,4472387.84,119572106507.0,32.83,518435572785.0,29008.96,466642284372.0,28370.04,-10079516631.0,-41713771782.0,12085880585.0,-53799652367.0,0.0,,29219.48,14236.3,4575387.84,129803936036.0,27.810000000000002,-73870028348.0,16448418.274066586,13621310.060432464,-0.05761042282633366,32.833756959995085,0.0,0.0,0.018670401216908605,0.17697158999026022,-0.15830118877335161,0.19564199120716882,True,-0.8091370763330845,dcvfm,dcbc,DC Blue Chip Fund,equity,1347.14,1293.92,-0.039505916237362104,-0.01810450658897156,2021-07,,,,,
DCBC,2021-07-16,2021-07-22,2021-07-23,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210722.xlsx,,standard,364174305891.0,26735.63,384485613493.0,26762.57,325426940.0,19985880662.0,23161897045.0,-3176016383.0,0.0,,29219.48,14236.3,4472387.84,119692592635.0,31.130000000000003,466642284372.0,28370.04,364174305891.0,26735.63,-28597950133.0,-73870028348.0,8712398674.0,-82582427022.0,0.0,,29219.48,14236.3,4472387.84,119572106507.0,32.83,19985880662.0,13621310.060432464,14366543.029798707,0.0010076441063853192,31.130577695120742,0.0,0.0,0.06360112910308538,0.008721143506347766,0.05487998559673762,0.07232227260943315,True,0.7588255127588386,dcvfm,dcbc,DC Blue Chip Fund,equity,1299.31,1293.67,-0.004340765483217934,0.0053484095896032535,2021-07,,,,,
DCBC,2021-07-23,2021-07-29,2021-07-30,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210729.xlsx,,standard,384485613493.0,26762.57,375843007998.0,26797.61,274368197.0,-8916973692.0,3481177084.0,-12398150776.0,0.0,,29219.48,14476.03,4472387.84,119849305105.0,31.89,364174305891.0,26735.63,384485613493.0,26762.57,325426940.0,19985880662.0,23161897045.0,-3176016383.0,0.0,,29219.48,14236.3,4472387.84,119692592635.0,31.130000000000003,-8916973692.0,14366543.029798707,14025243.5944101,0.0013092912975098958,31.8881294994419,0.0,0.0,0.009054115321439404,0.03224607200088573,-0.023191956679446325,0.041300187322325134,True,-0.561546040904026,dcvfm,dcbc,DC Blue Chip Fund,equity,1268.83,1293.6,0.019521921770449868,-0.018212630472939972,2021-07,,,,,
DCBC,2021-07-30,2021-08-05,2021-08-06,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/08/DCBC_BC_TUAN_20210805.xlsx,,standard,375843007998.0,26797.61,403399525985.0,28029.42,17546722743.0,10009795244.0,10241063067.0,-231267823.0,0.0,,29219.48,15381.4,4472387.84,125358437170.0,31.069999999999997,384485613493.0,26762.57,375843007998.0,26797.61,274368197.0,-8916973692.0,3481177084.0,-12398150776.0,0.0,,29219.48,14476.03,4472387.84,119849305105.0,31.89,10009795244.0,14025243.5944101,14392004.04378685,0.04596715901156845,31.075504331321728,0.0,0.0,0.0272482468718814,0.000615330917640034,0.026632915954241367,0.027863577789521435,True,0.9558325982192107,dcvfm,dcbc,DC Blue Chip Fund,equity,1310.05,1345.55,0.02709820235868854,0.01886895665287991,2021-08,,,,,
DCBC,2021-08-06,2021-08-12,2021-08-13,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/08/DCBC_BC_TUAN_20210812.xlsx,,standard,403399525985.0,28029.42,400598854076.0,27691.5,-4839284162.0,2038612253.0,8527389252.0,-6488776999.0,0.0,,29219.48,15644.74,4267987.84,118186985271.0,29.5,375843007998.0,26797.61,403399525985.0,28029.42,17546722743.0,10009795244.0,10241063067.0,-231267823.0,0.0,,29219.48,15381.4,4472387.84,125358437170.0,31.069999999999997,2038612253.0,14392004.04378685,14466491.669862593,-0.012055904117887484,29.50257697157018,0.0,0.0,0.021138818225376603,0.016085237044233112,0.00505358118114349,0.037224055269609715,True,0.1357611669266274,dcvfm,dcbc,DC Blue Chip Fund,equity,1341.45,1353.05,0.00864735920086468,-0.020703263318752163,2021-08,,,,,
DCBC,2021-08-13,2021-08-19,2021-08-20,6,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/08/DCBC_BC_TUAN_20210819.xlsx,,standard,400598854076.0,27691.5,425507087724.0,28572.66,13090947948.0,11817285700.0,14332451261.0,-2515165561.0,0.0,,29219.48,15719.95,4267987.84,121947765436.0,28.659999999999997,403399525985.0,28029.42,400598854076.0,27691.5,-4839284162.0,2038612253.0,8527389252.0,-6488776999.0,0.0,,29219.48,15644.74,4267987.84,118186985271.0,29.5,11817285700.0,14466491.669862593,14892106.220561894,0.03182059476734733,28.65939697697819,0.0,0.0,0.03577756430197103,0.006278514118072921,0.02949905018389811,0.042056078420043955,True,0.7014217989911025,dcvfm,dcbc,DC Blue Chip Fund,equity,1357.05,1374.85,0.013116686931211152,0.01870390783613618,2021-08,,,,,
