manager_id,fund_key,title,published,reason
vcbf,vcbfif,Báo cáo thay đổi giá trị tài sản ròng Quỹ FIF - Tuần 47/2024,2024-11-22,listing entry links to 'javascript:void(0);'; no file published
vcbf,vcbtbf,Báo cáo thay đổi giá trị tài sản ròng Quỹ TBF - Tuần 38/2024,2024-09-20,listing entry links to 'javascript:void(0);'; no file published
