manager_id,fund_key,title,published,reason
vinacapital,vibf,20220228-vibf-changes-of-nav-periodly-report.xlsx,2022-02-28,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220223-vibf-changes-of-nav-periodly-report.xlsx,2022-02-23,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220221-vibf-changes-of-nav-periodly-report.xlsx,2022-02-21,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220216-vibf-changes-of-nav-periodly-report.xlsx,2022-02-16,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220214-vibf-changes-of-nav-periodly-report.xlsx,2022-02-14,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220209-vibf-changes-of-nav-periodly-report.xlsx,2022-02-09,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220207-vibf-changes-of-nav-periodly-report.xlsx,2022-02-07,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220126-vibf-changes-of-nav-periodly-report.xlsx,2022-01-26,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220124-vibf-changes-of-nav-periodly-report.xlsx,2022-01-24,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220119-vibf-changes-of-nav-periodly-report.xlsx,2022-01-19,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220117-vibf-changes-of-nav-periodly-report.xlsx,2022-01-17,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220112-vibf-changes-of-nav-periodly-report.xlsx,2022-01-12,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220110-vibf-changes-of-nav-periodly-report.xlsx,2022-01-10,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220105-vibf-changes-of-nav-periodly-report.xlsx,2022-01-05,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220103-vibf-changes-of-nav-periodly-report.xlsx,2022-01-03,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211229-vibf-changes-of-nav-periodly-report.xlsx,2021-12-29,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211227-vibf-changes-of-nav-periodly-report.xlsx,2021-12-27,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211222-vibf-changes-of-nav-periodly-report.xlsx,2021-12-22,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211220-vibf-changes-of-nav-periodly-report.xlsx,2021-12-20,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211215-vibf-changes-of-nav-periodly-report.xlsx,2021-12-15,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211213-vibf-changes-of-nav-periodly-report.xlsx,2021-12-13,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211208-vibf-changes-of-nav-periodly-report.xlsx,2021-12-08,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211206-vibf-changes-of-nav-periodly-report.xlsx,2021-12-06,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211201-vibf-changes-of-nav-periodly-report.xlsx,2021-12-01,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211129-vibf-changes-of-nav-periodly-report.xlsx,2021-11-29,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211124-vibf-changes-of-nav-periodly-report.xlsx,2021-11-24,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211122-vibf-changes-of-nav-periodly-report.xlsx,2021-11-22,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211117-vibf-changes-of-nav-periodly-report.xlsx,2021-11-17,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211115-vibf-changes-of-nav-periodly-report.xlsx,2021-11-15,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211110-vibf-changes-of-nav-periodly-report.xlsx,2021-11-10,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211108-vibf-changes-of-nav-periodly-report.xlsx,2021-11-08,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211103-vibf-changes-of-nav-periodly-report.xlsx,2021-11-03,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211101-vibf-changes-of-nav-periodly-report.xlsx,2021-11-01,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211027-vibf-changes-of-nav-periodly-report.xlsx,2021-10-27,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211025-vibf-changes-of-nav-periodly-report.xlsx,2021-10-25,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211013-vibf-changes-of-nav-periodly-report.xlsx,2021-10-13,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211011-vibf-changes-of-nav-periodly-report.xlsx,2021-10-11,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211006-vibf-changes-of-nav-periodly-report.xlsx,2021-10-06,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20211004-vibf-changes-of-nav-periodly-report.xlsx,2021-10-04,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20210929-vibf-changes-of-nav-periodly-report.xlsx,2021-09-29,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20210926-vibf-changes-of-nav-periodly-report.xlsx,2021-09-26,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20210922-vibf-changes-of-nav-periodly-report.xlsx,2021-09-22,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20210920-vibf-changes-of-nav-periodly-report.xlsx,2021-09-20,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20210913-vibf-changes-of-nav-periodly-report.xlsx,2021-09-13,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20210908-vibf-changes-of-nav-periodly-report.xlsx,2021-09-08,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20210906-vibf-changes-of-nav-periodly-report.xlsx,2021-09-06,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260813_VFF_BC_Ky_Ky-so_20260812.xlsx,2026-08-13,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260811_VFF_BC_Ky_Ky-so_20260810.xlsx,2026-08-11,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260806_VFF_BC_Ky_Ky-so_20260805-1.xlsx,2026-08-06,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260804_VFF_BC_Ky_Ky-so_20260803.xlsx,2026-08-04,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260730_VFF_BC_Ky_Ky-so_20260729.xlsx,2026-07-30,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260723_VFF_BC_Ky_Ky-so_20260722.xlsx,2026-07-23,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260721_VFF_BC_Ky_Ky-so_20260720.xlsx,2026-07-21,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260716_VFF_BC_Ky_Ky-so_20260715.xlsx,2026-07-16,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260714_VFF_BC_Ky_Ky-so_20260713.xlsx,2026-07-14,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260709_VFF_BC_Ky_Ky-so_20260708.xlsx,2026-07-09,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260707_VFF_BC_Ky_Ky-so_20260706-1.xlsx,2026-07-07,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260702_VFF_BC_Ky_Ky-so_20260701-1.xlsx,2026-07-02,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260630_VFF_BC_Ky_Ky-so_20260629.xlsx,2026-06-30,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260625_VFF_BC_Ky_Ky-so_20260624-1.xlsx,2026-06-25,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260623_VFF_BC_Ky_Ky-so_20260622.xlsx,2026-06-23,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260618_VFF_BC_Ky_Ky-so_20260617-2.xlsx,2026-06-18,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260616_VFF_BC_Ky_Ky-so_20260615.xlsx,2026-06-16,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260611_VFF_BC_Ky_Ky-so_20260610.xlsx,2026-06-11,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260609_VFF_BC_Ky_Ky-so_20260608.xlsx,2026-06-09,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260604_VFF_BC_Ky_Ky-so_20260603-1.xlsx,2026-06-04,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260602_VFF_BC_Ky_Ky-so_20260601.xlsx,2026-06-02,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260528_VFF_BC_Ky_Ky-so_20260527.xlsx,2026-05-28,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260526_VFF_BC_Ky_Ky-so_20260525.xlsx,2026-05-26,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260521_VFF_BC_Ky_Ky-so_20260520.xlsx,2026-05-21,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260519_VFF_BC_Ky_Ky-so_20260518.xlsx,2026-05-19,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20260514_VFF_BC_Ky_Ky-so_20260513-1.xlsx,2026-05-14,filename matches neither the weekly nor the daily pattern
