month,rate_pct,tenor,bank,source,n_banks,observed,snapshot,provenance
2024-03,4.7,12 months,state-owned commercial banks (average),shinhan-scb-average,4,True,,"Shinhan Securities Vietnam, Vietnam Economic Update (25 Mar 2024): ""Deposit interest rates 12M term at State-owned commercial banks (SCBs) continue to decrease, reaching 4.7% on March 22, 2024"" (https://shinhansec.com.vn/uploads/report/Vietnam_economic_update_2402_E.pdf)"
2024-04,4.61,12 months,commercial banks (average),vndirect-market-average,0,True,,"VNDIRECT Research, average 12-month term deposit rate across commercial banks: ""As of April 27, 2024, the average 12-month term deposit interest rate of commercial banks plateaued at around 4.61%"" (https://www.vndirect.com.vn/cmsupload/beta/Econ_Update_20240520.pdf)"
2024-05,4.7,12 months,Agribank,agribank-board-rate,1,True,20240526204434,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20240526204434 of https://www.agribank.com.vn/vn/lai-suat"
2024-06,4.7,12 months,Agribank,agribank-board-rate,1,True,20240626111100,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20240626111100 of https://www.agribank.com.vn/vn/lai-suat"
2024-07,4.7,12 months,Agribank,agribank-board-rate,1,False,20240626111100,"bridged between observations at 2024-06 and 2024-09, which agree at 4.7%"
2024-08,4.7,12 months,Agribank,agribank-board-rate,1,False,20240626111100,"bridged between observations at 2024-06 and 2024-09, which agree at 4.7%"
2024-09,4.7,12 months,Agribank,agribank-board-rate,1,True,20240906234432,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20240906234432 of https://www.agribank.com.vn/vn/lai-suat"
2024-10,4.7,12 months,Agribank,agribank-board-rate,1,True,20241008043404,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20241008043404 of https://www.agribank.com.vn/vn/lai-suat"
2024-11,4.7,12 months,Agribank,agribank-board-rate,1,True,20241128101714,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20241128101714 of https://www.agribank.com.vn/vn/lai-suat"
2024-12,4.7,12 months,Agribank,agribank-board-rate,1,True,20241217044809,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20241217044809 of https://www.agribank.com.vn/vn/lai-suat"
2025-01,4.7,12 months,Agribank,agribank-board-rate,1,False,20241217044809,"bridged between observations at 2024-12 and 2025-02, which agree at 4.7%"
2025-02,4.7,12 months,Agribank,agribank-board-rate,1,True,20250207105719,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250207105719 of https://www.agribank.com.vn/vn/lai-suat"
2025-03,4.7,12 months,Agribank,agribank-board-rate,1,True,20250323005822,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250323005822 of https://www.agribank.com.vn/vn/lai-suat"
2025-04,4.7,12 months,Agribank,agribank-board-rate,1,True,20250404031732,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250404031732 of https://www.agribank.com.vn/vn/lai-suat"
2025-05,4.7,12 months,Agribank,agribank-board-rate,1,True,20250531072021,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250531072021 of https://www.agribank.com.vn/vn/lai-suat"
2025-06,4.7,12 months,Agribank,agribank-board-rate,1,True,20250613002901,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250613002901 of https://www.agribank.com.vn/vn/lai-suat"
2025-07,4.7,12 months,Agribank,agribank-board-rate,1,True,20250722154555,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20250722154555 of https://www.agribank.com.vn/vn/lai-suat"
2025-08,4.7,12 months,Agribank,agribank-board-rate,1,False,20250722154555,"bridged between observations at 2025-07 and 2025-10, which agree at 4.7%"
2025-09,4.7,12 months,Agribank,agribank-board-rate,1,False,20250722154555,"bridged between observations at 2025-07 and 2025-10, which agree at 4.7%"
2025-10,4.7,12 months,state-owned banks (average),press-state-owned,0,True,,"Press report, ""Bank interest rates started to rise from the end of October. The average for a 12-month term was 5.34% at private banks and 4.7% at state-owned banks"" (https://vcdn.vietnam.vn/en/lai-suat-ngan-hang-dong-loat-tang-gui-100-trieu-dong-nhan-duoc-bao-nhieu-tien-lai)"
2025-11,,12 months,state-owned banks (average),,0,False,,"no observation: bracketing observations 2025-10 at 4.7% and 2026-03 at 5.9% disagree, so the rate moved somewhere in this gap; left missing rather than picking a side"
2025-12,,12 months,state-owned banks (average),,0,False,,"no observation: bracketing observations 2025-10 at 4.7% and 2026-03 at 5.9% disagree, so the rate moved somewhere in this gap; left missing rather than picking a side"
2026-01,,12 months,state-owned banks (average),,0,False,,"no observation: bracketing observations 2025-10 at 4.7% and 2026-03 at 5.9% disagree, so the rate moved somewhere in this gap; left missing rather than picking a side"
2026-02,,12 months,state-owned banks (average),,0,False,,"no observation: bracketing observations 2025-10 at 4.7% and 2026-03 at 5.9% disagree, so the rate moved somewhere in this gap; left missing rather than picking a side"
2026-03,5.9,12 months,big four (mean),cafef-big-four,4,True,20260331012516,"mean of big-four published 12-month VND board rates (Agribank 5.9, BIDV 5.9, Vietcombank 5.9, VietinBank 5.9), read from Wayback Machine snapshot 20260331012516 of https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/Liveboard/all_banks_interest_rates.json"
2026-04,5.9,12 months,big four (mean),cafef-big-four,4,False,20260331012516,"bridged between observations at 2026-03 and 2026-08, which agree at 5.9%"
2026-05,5.9,12 months,big four (mean),cafef-big-four,4,False,20260331012516,"bridged between observations at 2026-03 and 2026-08, which agree at 5.9%"
2026-06,5.9,12 months,big four (mean),cafef-big-four,4,False,20260331012516,"bridged between observations at 2026-03 and 2026-08, which agree at 5.9%"
2026-07,5.9,12 months,big four (mean),cafef-big-four,4,False,20260331012516,"bridged between observations at 2026-03 and 2026-08, which agree at 5.9%"
2026-08,5.9,12 months,big four (mean),cafef-big-four,4,True,20260815144114,"mean of big-four published 12-month VND board rates (Agribank 5.9, BIDV 5.9, Vietcombank 5.9, VietinBank 5.9), read live from https://cafefnew.mediacdn.vn/Images/Uploaded/DuLieuDownload/Liveboard/all_banks_interest_rates.json on 2026-08-15"
